copyright,date,explanation,hdurl,media_type,service_version,title,url,source,source_url
Jean-Charles Cuillandre,2008-09-09,"Our Milky Way Galaxy is not alone. It is part of a gathering of about 25 galaxies known as the Local Group. Members include the Great Andromeda Galaxy (M31), M32, M33, the Large Magellanic Cloud, the Small Magellanic Cloud, Dwingeloo 1, several small irregular galaxies, and many dwarf elliptical and dwarf spheroidal galaxies. Pictured on the lower right is one of the dwarf ellipticals: NGC 205. Like M32, NGC 205 is a companion to the large M31, and can sometimes be seen to the south of M31's center in photographs. The image shows NGC 205 to be unusual for an elliptical galaxy in that it contains at least two dust clouds (at 9 and 2 o'clock - they are visible but hard to spot) and signs of recent star formation. This galaxy is sometimes known as M110, although it was actually not part of Messier's original catalog.",https://apod.nasa.gov/apod/image/0809/m110_cfht_big1.jpg,image,v1,M110: Satellite of the Andromeda Galaxy,https://apod.nasa.gov/apod/image/0809/m110_cfht_c800.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
"Ken Murphy  
(MurphLab);
 Music  Ariel (Moby)",2013-07-24,"ch panel shows one day. With 360 movie panels, the sky over (almost) an entire year is shown in time lapse format as recorded by a video camera on the roof of the Exploratorium museum in San Francisco, California. The camera recorded an image every 10 seconds from before sunrise to after sunset and from mid-2009 to mid-2010.  A time stamp showing the local time of day is provided on the lower right. The videos are arranged chronologically, with July 28 shown on the upper left, and January 1 located about about half way down.  Although every day lasts 24 hours, daylight lasts longest in the northern hemisphere in June and the surrounding summer months, a fact which can be seen here as the bottom (and soon top) videos are the first to light up with dawn. The initial darkness in the middle depicts the delayed dawn and fewer daylight hours of winter. In the videos, darkness indicates night, blue depicts clear day, while gray portrays pervasive daytime cloud cover. Many videos show complex patterns of clouds moving across the camera's wide field as that day progresses. As the videos collectively end, sunset and then darkness descend first on the winter days just above the middle, and last on the mid-summer near the bottom.",,video,v1,A Year of Sky on Earth,https://player.vimeo.com/video/32095756?title=0&byline=0&portrait=0,nasa_apod,https://api.nasa.gov/planetary/apod
Frédéric Burgeot,2012-09-15,"A planetary nebula with a simple symmetry familiar to telescopic sky gazers, the Ring Nebula (M57) is some 2,000 light-years away in the musical constellation Lyra. Hints of changing colors and subtle details are brought out in this remarkable sketch of the cosmic ring. The sketch was made with 800x magnification and excellent seeing conditions directly at the eyepiece of a 40 inch reflecting telescope.  Colored pencils on white paper were used to create the original drawing, shown here digitally scanned with an inverted palette applied. About one light-year across, the nebula is composed of outer layers expelled from a dying, once sun-like star. Intense ultraviolet light from the hot central star ionizes atoms in the gas and powers the nebular glow. Ionized hydrogen adds a reddish tint. Ionized oxygen produces a characteristic blue-green color. Difficult to see under average conditions with small telescopes, the Ring Nebula's central star was visible at all times during the artist's study.",https://apod.nasa.gov/apod/image/1209/M57burgeot.png,image,v1,Ring Nebula Drawn,https://apod.nasa.gov/apod/image/1209/M57burgeot.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,1997-03-11,"What happened to Jupiter's Great Red Spot? Operating at a chilly 55 degrees Kelvin, the Galileo Spacecraft's Near Infrared Mapping Spectrometer (NIMS) recorded this composite image of Jupiter's Great Red Spot in late June 1996. Red, green, and blue colors were chosen to represent three different infrared wavelengths detected by the NIMS instrument. The resulting yellowish green appearance of the massive Jovian storm system - a cold, high pressure area 2 to 3 Earth diameters wide - indicates that it lies high above the surrounding cloud features. Blue corresponds to regions where the clouds are relatively thin and the features lie at greater depths.",https://apod.nasa.gov/apod/image/9703/yellowsp_gal_big.jpg,image,v1,"Jupiter: The Great Yellow Spot

Credit:",https://apod.nasa.gov/apod/image/9703/yellowsp_gal.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
Steve Albers,1999-07-16,"The sun's corona is a tenuous outer atmosphere composed of streams of energetic charged particles, but it is only easily seen from Earth during a total solar eclipse. For example, this 1991 image of totality from atop Mauna Kea, Hawaii forms a fleeting snapshot of the mysterious corona's beautiful, intricate structures and streams. However in space, instruments can use occulting disks to simulate eclipses and more readily monitor the corona beyond the sun's edge. Combined observations from the space-based SOHO UCVS and shuttle-borne Spartan 201 experiments have recently contributed to a major advance in understanding the high-speed component of the wind of particles in the corona. They reveal evidence for magnetic waves within the corona itself that push solar wind particles along, like an ocean wave gives a surfer a ride. Surprisingly, heavier charged particles can surf the magnetic waves faster - oxygen ions were found to achieve speeds of up to 500 miles per second, faster than the lighter hydrogen ions which make up most of the solar wind.",https://apod.nasa.gov/apod/image/9907/eclipse91_ncar_big.jpg,image,v1,Solar Surfin',https://apod.nasa.gov/apod/image/9907/eclipse91_ncar.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
"Elisabetta Bonora & Marco Faccin 
(Alive Universe Images)",2014-09-15,"Spacecraft Rosetta continues to approach, circle, and map Comet Churyumov-Gerasimenko. Crossing the inner Solar System for ten years to reach the vicinity of the comet last month, the robotic spacecraft continues to image the unusual double-lobed comet nucleus. The reconstructed-color image featured, taken about 10 days ago, indicates how dark this comet nucleus is.  On the average, the comet's surface reflects only about four percent of impinging visible light, making it as dark as coal.  Comet 67P/Churyumov�Gerasimenko spans about four kilometers in length and has a surface gravity so low that an astronaut could jump off of it.  In about two months, Rosetta is scheduled to release the first probe ever to attempt a controlled landing on a comet's nucleus.   Astronomers: Has an APOD image ever helped your research?",https://apod.nasa.gov/apod/image/1409/cometCG01_rosetta_2048.jpg,image,v1,62 Kilometers above Comet Churyumov-Gerasimenko,https://apod.nasa.gov/apod/image/1409/cometCG01_rosetta_960.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
"ISAS,
JAXA",2005-09-19,"What are asteroids made of?  To help find out, Japan's JAXA space agency launched the Hayabusa mission to rendezvous with asteroid Itokawa.  Last week, the small robotic Hayabusa spacecraft arrived at asteroid Itokawa and stationed itself only 20 kilometers away.  Although a long term goal is to find out how much ice, rock and trace elements reside on the asteroid's surface, a shorter term goal is to determine the mass of the asteroid by measuring the attraction of the drifting Hayabusa spacecraft.  During the next few months, Hayabusa will also image and map asteroid Itokawa as it orbits the Sun.  The above time-lapse image sequence was taken by Hayabusa upon final approach, showing the general oblong shape of the asteroid.   In November, a small coffee-can sized robot dubbed MINERVA is scheduled for release and is expected to hop around the asteroid taking pictures.  Also in November, Hayabusa will fire pellets into asteroid Itokawa and collect some of the debris in a return capsule.  In December, Hayabusa will fire its rockets toward Earth and drop the return capsule to Earth in 2007 June.",https://apod.nasa.gov/apod/image/0509/itokawa_hayabusa.gif,image,v1,Approaching Asteroid Itokawa,https://apod.nasa.gov/apod/image/0509/itokawa_hayabusa_big.gif,nasa_apod,https://api.nasa.gov/planetary/apod
,2001-09-29,"The ultraviolet light emitted by eleven times ionized iron at temperatures over 2 million degrees Farenheit was used to record the above picture of the Sun on September 22, the date of the autumnal equinox. The image was made by the EIT camera onboard the SOHO spacecraft, a space observatory which can continuously observe the Sun. Eleven times ionized iron is atomic iron with eleven of its electrons stripped away. Here the electrons are stripped by the frantic collisions with other atoms and electrons which occur at the extreme temperatures in the Solar Corona. Since electrons are negatively charged, the resulting ionized iron atom is highly positively charged. Astronomer's ""shorthand"" for eleven times ionized iron is written ""Fe XII"", the chemical symbol for iron followed by a Roman numeral 12 (Fe I is neutral iron).",https://apod.nasa.gov/apod/image/0109/feii_eit010922_1812_big.jpg,image,v1,The Iron Sun,https://apod.nasa.gov/apod/image/0109/feii_eit010922_1812.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2000-11-09,"rly on, x-ray satellites revealed a surprising cosmic background glow of x-rays and astronomers have struggled to understand its origin. Now, peering through a hole in the obscuring gas and dust of our own Milky Way Galaxy, the powerful orbiting XMM-Newton telescope has recorded this deep image of the x-ray sky, resolving some of the mysterious background into many faint individual sources. The tantalizing image is color-coded, with red representing relatively low energy x-rays, photons with 500 or so times the energy of visible light. Green and blue colors correspond to increasingly energetic x-rays with up to about 10,000 times visible light energies. Notably, the faint sources tend to be green and blue, showing x-ray characteristics of huge amounts of material falling into massive black holes in very distant galaxies. Do massive black holes reside in the hearts of all large galaxies? The XMM-Newton results add to the growing consensus that they do and that, from across the universe, x-rays produced as matter feeds these black holes account for the cosmic x-ray background.",https://apod.nasa.gov/apod/image/0011/lockman_xmm.jpg,image,v1,The Cosmic X-Ray Background,https://apod.nasa.gov/apod/image/0011/lockman_xmm.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,1996-02-27,"An X-ray star winks out behind the Moon in these before and after views of a lunar occultation of the galactic X-ray source designated GX5-1. The false color images were made using data from the ROSAT orbiting observatory and show high energy X-rays in yellow (mostly from GX5-1), and lower energy X-rays in red (the Moon reflecting X-rays from the Sun). GX5-1 is a binary system consisting of a neutron star and a companion star in mutual orbit about the system's center of mass. The gas in the companion star's outer envelope falls toward the neutron star and accumulates in a disk around it. This disk material swirls deeper in to the neutron star's gravitational well, and is finally dumped onto its surface - in the process creating tremendous temperatures and generating the high energy X-rays.",https://apod.nasa.gov/apod/image/gx5moon_rosat.gif,image,v1,X-ray Moon and X-ray Star,https://apod.nasa.gov/apod/image/gx5moon_rosat_crop.gif,nasa_apod,https://api.nasa.gov/planetary/apod
Damian Peach,2013-07-10,"One of the largest sunspot regions in recent years is now crossing the Sun. This region of convoluted magnetic fields may well produce a solar flare that releases a cloud of energetic particles into the Solar System. Were a very powerful cloud to impact the Earth's magnetosphere, it could be dangerous to Earth-orbiting astronauts and satellites.  Conversely, the impact of even a less energetic cloud might create picturesque aurora.  Pictured above is the sunspot region as it appeared two days ago. The rightmost part of this region has been cataloged as AR 11785, while the left part as AR 11787. The darkest sunspot regions contain nearly vertical magnetic fields and are called umbras, while the surrounding bronze regions -- more clearly showing stringy magnetic flux tubes -- are called penumbras. Churning solar granules, many about 1000 km across, compose the yellow background region.  No one knows what this sunspot region will do, but space weather researchers are monitoring it closely.    Random APOD: Click here to surf the universe",https://apod.nasa.gov/apod/image/1307/ar11785_peach_2320.jpg,image,v1,Large Sunspots Now Crossing the Sun,https://apod.nasa.gov/apod/image/1307/ar11785_peach_960.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2016-04-01,"Looking for an interplanetary vacation destination? Consider a visit to Europa, one of the Solar System's most tantalizing moons. Ice-covered Europa follows an elliptical path in its 85 hour orbit around our ruling gas giant Jupiter. Heat generated from strong tidal flexing by Jupiter's gravity keeps Europa's salty subsurface ocean liquid all year round. That also means even in the absence of sunlight Europa has energy that could support simple life forms. Unfortunately, it is currently not possible to make reservations at restaurants on Europa, where you might enjoy a dish of the local extreme shrimp. But you can always choose another destination from Visions of the Future.",https://apod.nasa.gov/apod/image/1604/europa4500.jpg,image,v1,Europa: Discover Life Under the Ice,https://apod.nasa.gov/apod/image/1604/europa1024c.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2000-12-03,"A magnetic compass does not point toward the true North Pole of the Earth.  Rather, it more closely points toward the North Magnetic Pole of the Earth.  The North Magnetic Pole is currently located in northern Canada.  It wanders in an elliptical path each day, and moves, on the average, more than forty meters northward each day.  Evidence indicates that the North Magnetic Pole has wandered over much of the Earth's surface in the 4.5 billion years since the Earth formed.  The Earth's magnetic field is created by Earth's partially ionized outer core, which rotates more rapidly than the Earth's surface.  Indicated in the above picture is Ellef Ringnes Island, the current location of Earth's North Magnetic Pole.",https://apod.nasa.gov/apod/image/9910/northcanada_noaa_big.jpg,image,v1,Earth's North Magnetic Pole,https://apod.nasa.gov/apod/image/9910/northcanada_noaa.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
Andrea Girones,2025-08-26,"What's hovering above the Sun?  A solar prominence. A prominence is a crest of hot gas expelled from the Sun's surface that is held aloft by the Sun's magnetic field.  Prominences can last for days, can suddenly explode into space, or just fall back to the Sun.  What decides a prominence's fate is how the Sun's complex magnetic field changes -- the field's direction can act like an offramp for trapped solar particles. The 3-second (repeating) time-lapse featured video was captured earlier this month from Ottawa, Ontario, Canada. It shows the development of a larger-than-Earth prominence as it appears to leak solar plasma back to the Sun, over the course of an hour. What is unusual is that the prominence appears to hover -- more simple and typical prominences form magnetic loops that connect back to the surface.  Many hours after this video ended, the hovering prominence disintegrated back into the Sun.    Explore the Universe: Random APOD Generator",,video,v1,A Leaky Solar Prominence,https://apod.nasa.gov/apod/image/2508/LeakySun_Girones.mp4,nasa_apod,https://api.nasa.gov/planetary/apod
Mike Holloway,2004-02-09,"A newly discovered comet may outshine most stars in the sky by May.  Designated Comet C/2002 T7 (LINEAR), the comet was discovered in 2002 October by project LINEAR.  Many reports already place the comet as brighter than magnitude 7, meaning that it can now be seen with binoculars. Reports also indicate the comet already has a visible tail nearly the length of a full Moon. Since predicting the future brightness of comets is a very tricky business, there remains the possibility that T7 might never become visible to the unaided eye.  Alternatively, another comet, C/2001 Q4 (NEAT), may also reach naked eye visibility at nearly the same time, making 2004 April and May two of the busiest bright-comet months in centuries.  Comet T7 can be seen on the above right on January 20, while an airplane trail is visible on the left.",https://apod.nasa.gov/apod/image/0402/cometT7_holloway_big.jpg,image,v1,Announcing Comet C/2002 T7 (LINEAR),https://apod.nasa.gov/apod/image/0402/cometT7_holloway.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2006-06-18,"Gliding silently through the outer Solar System, the Voyager 2 spacecraft camera captured Neptune and Triton together in crescent phase in 1989.  The above picture of the gas giant planet and its cloudy moon was taken from behind just after closest approach.  It could not have been taken from Earth because Neptune never shows a crescent phase to sunward Earth.  The unusual vantage point also robs Neptune of its familiar blue hue, as sunlight seen from here is scattered forward, and so is reddened like the setting Sun.  Neptune is smaller but more massive than Uranus, has several dark rings, and emits more light than it receives from the Sun.",https://apod.nasa.gov/apod/image/0106/neptunetriton_vg2_big.jpg,image,v1,Crescent Neptune and Triton,https://apod.nasa.gov/apod/image/0106/neptunetriton_vg2.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
Zixiong Jin,2025-03-25,"What causes a blue band to cross the Moon during a lunar eclipse? The blue band is real but usually quite hard to see. The featured HDR image of last week's lunar eclipse, however -- taken from Norman, Oklahoma (USA) -- has been digitally processed to exaggerate  the colors.  The gray color on the upper right of the top lunar image is the Moon's natural color, directly illuminated by sunlight. The lower parts of the Moon on all three images are not directly lit by the Sun since it is being eclipsed -- it is in the Earth's shadow. It is faintly lit, though, by sunlight that has passed deep through Earth's atmosphere. This part of the Moon is red -- and called a blood Moon -- for the same reason that Earth's sunsets are red: because air scatters away more blue light than red. The unusual purple-blue band visible on the upper right of the top and middle images is different -- its color is augmented by sunlight that has passed high through Earth's atmosphere, where red light is better absorbed by ozone than blue.   Celestial Surprise: What picture did APOD feature on your birthday? (post 1995)",https://apod.nasa.gov/apod/image/2503/LunarEclipseColors_Jin_2700.jpg,image,v1,A Blue Banded Blood Moon,https://apod.nasa.gov/apod/image/2503/LunarEclipseColors_Jin_960.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
"César Blanco
González",2013-08-22,"The prominent ridge of emission featured in this dramatic skyscape is cataloged as IC 5067. Part of a larger emission nebula with a distinctive shape, popularly called The Pelican Nebula, the ridge spans about 10 light-years following the curve of the cosmic pelican's head and neck. This false color view also translates the pervasive glow of narrow emission lines from atoms in the nebula to a color palette made popular in Hubble Space Telescope images of star forming regions. Fantastic, dark shapes inhabiting the 1/2 degree wide field are clouds of cool gas and dust sculpted by the winds and radiation from hot, massive stars. Close-ups of some of the sculpted clouds show clear signs of newly forming stars. The Pelican Nebula, itself cataloged as IC 5070, is about 2,000 light-years away. To find it, look northeast of bright star Deneb in the high flying constellation Cygnus.",https://apod.nasa.gov/apod/image/1308/IC5067_HaSHOgonzalez_2000.jpg,image,v1,IC 5067 in the Pelican Nebula,https://apod.nasa.gov/apod/image/1308/IC5067_HaSHOgonzalez_950.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,2004-07-06,"Could the building blocks of life exist under the smog of Titan?  What is creating all of the methane?  To help answer these questions, the largest and most mysterious moon of Saturn got a quick first look from the Cassini robot spacecraft soon after entering orbit around the giant planet last week.  Although thick atmospheric smog prevented detailed surface images in visible light, infrared light was able to provide interesting clues to the nature of Titan's surface.  The above images show Titan in three different colors of infrared light, with the most energetic on the left.  The leftmost image is the most detailed but shows surface features that are not yet well understood.  The smoothness of the middle image is consistent with a large frozen ocean of water ice containing simple hydrocarbons.  The darker regions on the rightmost image might indicate areas relatively rich in hydrocarbons.  The white spot visible near the South Pole is hypothesized to be a persistent cloud of large particles containing methane.  A better understanding of the mysterious surface of Titan will hopefully be forthcoming as scientists study these images and those from a planned 45 flybys over the next four years.  In January, Cassini is scheduled to drop the Huygens probe onto Titan's surface.",https://apod.nasa.gov/apod/image/0407/titaninfrared_cassini_big.jpg,image,v1,Titan from Cassini in Infrared,https://apod.nasa.gov/apod/image/0407/titaninfrared_cassini.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
,1999-10-19,"A magnetic compass does not point toward the true North Pole of the Earth.  Rather, it more closely points toward the North Magnetic Pole of the Earth.  The North Magnetic Pole is currently located in northern Canada.  It wanders in an elliptical path each day, and moves, on the average, more than forty meters northward each day.  Evidence indicates that the North Magnetic Pole has wandered over much of the Earth's surface in the 4.5 billion years since the Earth formed.  The Earth's magnetic field is created by Earth's partially ionized outer core, which rotates more rapidly than the Earth's surface.  Indicated in the above picture is Ellef Ringnes Island, the current location of Earth's North Magnetic Pole.",https://apod.nasa.gov/apod/image/9910/northcanada_noaa_big.jpg,image,v1,Earth's North Magnetic Pole,https://apod.nasa.gov/apod/image/9910/northcanada_noaa.jpg,nasa_apod,https://api.nasa.gov/planetary/apod
